Lat_Lon,Crime_Rating
"(40.707612461000046, -74.01182474799998)",7.0
"(40.707654096, -74.005754399)",14.0
"(40.707654096000056, -74.00575439899995)",13.4
"(40.707678901, -74.003110566)",21.200000000000003
"(40.707687176, -74.000578545)",7.0
"(40.707703194, -74.010201673)",16.1
"(40.707708092, -74.015496559)",60.1
"(40.70770809200008, -74.01549655899998)",8.4
"(40.707730796, -74.008272002)",11.5
"(40.707763436, -74.011705749)",25.2
"(40.70776946, -74.003730953)",7.0
"(40.70777977, -74.01296455)",54.9
"(40.70777977000005, -74.01296454999994)",4.5
"(40.70780671, -74.016874407)",15.4
"(40.70780671000005, -74.016874407)",17.0
"(40.707816171, -74.001574044)",15.5
"(40.70784636400003, -74.00151994199997)",8.5
"(40.707865384, -74.006840088)",8.5
"(40.70786538400005, -74.00684008799993)",11.6
"(40.7078758, -74.013278367)",7.1
"(40.707884755, -74.003254851)",13.0
"(40.70788475500007, -74.00325485099995)",8.5
"(40.707920483, -74.000131294)",37.2
"(40.707920483000066, -74.00013129399997)",7.1
"(40.707942412, -74.002580367)",17.0
"(40.707974575, -74.013592186)",27.1
"(40.707986078, -74.008005123)",13.0
"(40.708037935, -74.011478562)",27.2
"(40.70803793500005, -74.011478562)",7.1
"(40.708042969, -74.015377609)",21.4
"(40.70809060700003, -74.00340274399997)",8.5
"(40.70810987000005, -73.99940270199994)",24.0
"(40.70811527, -74.004574985)",14.0
"(40.708118101, -74.000971701)",8.5
"(40.708126338, -73.999431557)",114.8
"(40.708126338000056, -73.999431557)",22.7
"(40.708140063, -74.000308032)",7.0
"(40.708156404, -74.005419001)",39.8
"(40.70815640400008, -74.00541900099995)",17.0
"(40.70816999, -74.007824801)",7.1
"(40.708221068, -74.017556217)",8.5
"(40.708232487, -74.014382149)",27.799999999999997
"(40.70823248700003, -74.01438214899997)",4.5
"(40.708235945, -74.006533539)",47.1
"(40.708244364, -73.999565011)",8.4
"(40.708260817, -74.001941958)",21.5
"(40.708296515, -73.999546976)",17.4
"(40.708312434, -74.011251375)",11.6
"(40.708353902, -74.007640871)",7.0
"(40.70835611600006, -74.01342995299996)",7.0
"(40.708356899, -74.000488379)",8.5
"(40.708408951, -74.004787813)",37.599999999999994
"(40.708411736, -74.003687706)",7.0
"(40.70845554, -74.006273864)",8.5
"(40.708457918, -74.011132372)",7.2
"(40.708465375, -74.017401183)",17.0
"(40.70846537500006, -74.01740118299993)",7.1
"(40.708472142, -74.0029519)",21.5
"(40.70847214200006, -74.00295189999997)",7.0
"(40.708477462, -74.006908682)",4.5
"(40.708477462000076, -74.00690868199997)",7.0
"(40.708493137, -74.015179333)",12.9
"(40.708502372, -73.999889632)",7.0
"(40.708518531, -74.008448838)",14.2
"(40.708535067, -74.007464153)",8.5
"(40.708540791, -74.001382894)",8.5
"(40.708568225, -74.002201666)",7.1
"(40.70862276, -74.009372223)",14.0
"(40.708622760000026, -74.00937222299996)",9.2
"(40.708657946, -74.01421993)",8.4
"(40.70865794600007, -74.01421992999997)",15.5
"(40.708666949, -74.005033101)",28.2
"(40.708666949000076, -74.00503310099998)",7.0
"(40.708678035, -73.999132177)",68.1
"(40.708694113, -74.009516509)",8.5
"(40.70870496600002, -74.01093042499997)",8.5
"(40.708707999, -74.007287432)",36.2
"(40.708740403, -74.013264111)",7.0
"(40.708774095, -73.998533426)",159.0
"(40.708774095000074, -73.99853342599994)",29.0
"(40.708798804, -74.000859895)",7.0
"(40.70880653, -74.010847482)",32.8
"(40.708836871, -74.009134195)",9.2
"(40.708853675, -74.002504657)",11.5
"(40.708860791, -74.016239854)",25.5
"(40.70888924, -74.005765327)",9.2
"(40.70890035100007, -73.99833504299994)",7.1
"(40.708905605, -74.007550761)",11.6
"(40.70894627000007, -74.01317397899999)",9.2
"(40.708963049, -74.010100872)",14.1
"(40.708984954, -74.01069602)",7.1
"(40.70898973, -74.016690753)",34.0
"(40.709015517, -74.005390215)",4.5
"(40.709053726, -74.00889256)",7.0
"(40.709053726000036, -74.00889255999994)",4.5
"(40.709086148, -74.014057709)",4.5
"(40.70908637200006, -74.01208831599996)",7.1
"(40.709100599, -74.005512858)",52.599999999999994
"(40.709141698, -74.006858254)",21.0
"(40.709154883, -74.013083847)",8.4
"(40.709163378, -74.010544557)",14.1
"(40.70916337800003, -74.01054455699995)",7.0
"(40.70918210000008, -74.01497028699998)",7.2
"(40.70919129, -74.002086263)",17.5
"(40.709191290000035, -74.00208626299997)",11.5
"(40.709198916, -74.012012591)",14.1
"(40.709207711, -73.996084297)",110.5
"(40.70920771100003, -73.99608429699998)",20.7
"(40.709231319, -74.016344547)",31.9
"(40.709231319000025, -74.01634454699997)",8.5
"(40.70923938300007, -74.01750238099999)",27.9
"(40.70926450600007, -74.01447975899998)",7.1
"(40.709294761, -74.013974793)",25.299999999999997
"(40.709314203, -74.011936866)",23.2
"(40.709314203000076, -74.01193686599999)",7.1
"(40.709317281, -74.008113493)",8.5
"(40.709325802, -73.999950949)",8.5
"(40.709333881, -74.005974568)",46.699999999999996
"(40.70933388100008, -74.00597456799993)",7.0
"(40.709341049, -74.016766587)",15.5
"(40.709353143, -73.995041879)",34.1
"(40.709412678, -74.014829667)",15.5
"(40.709429566, -74.011110892)",35.3
"(40.709432732, -74.005148583)",21.2
"(40.709438277, -73.996304309)",118.8
"(40.70943827700007, -73.99630430899998)",14.1
"(40.709457411, -73.994334905)",7.0
"(40.709469964, -74.017361769)",25.5
"(40.70946996400005, -74.01736176899993)",8.5
"(40.709487284, -74.010266871)",16.2
"(40.709487284000026, -74.01026687099994)",15.6
"(40.709490247, -74.007431797)",7.0
"(40.709490247000076, -74.007431797)",14.1
"(40.709493077, -73.994024703)",59.9
"(40.70949307700005, -73.99402470299998)",4.5
"(40.709503605, -74.011807049)",4.5
"(40.709506117, -74.013891876)",17.6
"(40.709512433, -74.001667866)",72.6
"(40.70951243300004, -74.00166786599993)",16.299999999999997
"(40.709517268, -74.012387773)",7.0
"(40.709538461, -74.018158928)",8.5
"(40.70953916900004, -74.01291800199994)",7.2
"(40.709539586, -74.008420111)",45.2
"(40.70953958600006, -74.00842011099996)",7.0
"(40.709550764, -74.004989885)",8.5
"(40.70955076400003, -74.00498988499999)",8.5
"(40.709564416, -74.006436281)",25.299999999999997
"(40.709564416000035, -74.00643628099994)",4.5
"(40.709588905, -74.009527458)",24.7
"(40.70958890500003, -74.00952745799998)",11.5
"(40.70961097500003, -73.991932648)",9.0
"(40.709668796, -74.00482758)",8.5
"(40.709676241, -74.014317535)",14.8
"(40.70967624100007, -74.01431753499998)",7.1
"(40.709695753, -74.011673625)",34.8
"(40.709714364, -74.016575512)",42.5
"(40.709717587, -74.012838683)",18.8
"(40.709723595, -74.006746496)",36.8
"(40.70972359500007, -74.00674649599993)",7.0
"(40.709726527, -74.001501949)",4.5
"(40.709742835, -74.006263164)",6.8
"(40.709742835000036, -74.00626316399996)",4.5
"(40.709770394, -73.996300684)",7.1
"(40.709781157, -73.992030016)",8.5
"(40.70978115700007, -73.99203001599993)",11.5
"(40.709786646, -73.992033622)",4.5
"(40.709808819, -73.996257398)",40.2
"(40.709808819000045, -73.99625739799995)",8.5
"(40.709813936, -74.009989184)",41.9
"(40.709813936000046, -74.00998918399995)",20.6
"(40.70981408500006, -73.991910982)",4.5
"(40.709819565, -73.991773916)",103.0
"(40.709840882, -74.014671055)",45.5
"(40.709840882000044, -74.01467105499995)",20.1
"(40.70988002700005, -74.00705310699995)",7.0
"(40.709921254, -74.006090044)",9.0
"(40.709921325, -74.004542647)",7.1
"(40.709926261, -74.01217143)",7.1
"(40.70992626100008, -74.01217142999997)",7.0
"(40.709937533, -74.008982852)",24.6
"(40.709937533000065, -74.00898285199997)",23.299999999999997
"(40.709948758, -73.995088725)",7.1
"(40.709961502000056, -74.01580006999995)",8.5
"(40.709967707, -73.990785581)",24.0
"(40.70996770700003, -73.99078558099995)",14.2
"(40.70998449, -73.996441344)",89.0
"(40.709984490000075, -73.99644134399993)",8.5
"(40.710055671, -74.007399396)",23.4
"(40.71005567100008, -74.00739939599998)",29.799999999999997
"(40.710063331, -74.013671966)",9.2
"(40.710074708, -74.009765589)",8.5
"(40.71007470800004, -74.00976558899998)",7.1
"(40.710090425, -74.016380828)",60.0
"(40.71009042500003, -74.01638082799997)",24.0
"(40.710094185, -73.994104003)",21.2
"(40.710102117, -73.989790032)",51.0
"(40.710102117000076, -73.98979003199997)",4.5
"(40.71010438, -74.014667506)",8.4
"(40.710173855, -74.004254103)",16.2
"(40.71017385500005, -74.00425410299994)",4.5
"(40.710184907, -74.00114126)",71.2
"(40.71018490700004, -74.00114125999994)",4.5
"(40.710206816, -73.99644494)",34.1
"(40.71020681700002, -73.99649543799995)",7.1
"(40.710228568, -74.007745689)",39.2
"(40.71022856800005, -74.00774568899999)",7.1
"(40.710231568, -74.001105191)",4.5
"(40.71024404, -74.017008485)",100.5
"(40.71024404000008, -74.01700848499998)",34.0
"(40.710253334, -74.006735729)",13.0
"(40.71025333400007, -74.00673572899994)",17.0
"(40.71028861, -73.988206526)",15.4
"(40.71028861000008, -73.98820652599994)",7.1
"(40.71028914, -74.004113437)",25.6
"(40.710289140000036, -74.00411343699994)",7.1
"(40.710335478, -74.0095456)",27.4
"(40.710376497, -74.011233689)",14.2
"(40.710379397, -74.009509536)",7.0
"(40.710404357, -74.005599534)",13.5
"(40.71040435700007, -74.00559953399994)",7.1
