,Lat_Lon,Crime_Rating
56,"(40.72162773200006, -73.99546666499998)",1.101375
57,"(40.77881447400005, -73.97406924899997)",1.101375
58,"(40.77281135900005, -73.98877311899997)",1.101375
59,"(40.72161376200007, -73.99120967099998)",1.101375
60,"(40.785435717, -73.978659966)",1.101375
61,"(40.72160309900005, -73.97476613199996)",1.101375
62,"(40.713851686000055, -73.99272571999995)",1.101375
63,"(40.75802185400005, -73.96916468499995)",1.101375
64,"(40.77887018400003, -73.95816759599995)",1.101375
65,"(40.763906857, -73.970198007)",1.101375
66,"(40.807068993, -73.964713341)",1.101375
67,"(40.80712116400008, -73.93363344999993)",1.101375
68,"(40.713934257, -73.99955776)",1.101375
69,"(40.721470943, -74.00991878)",1.101375
70,"(40.721457618000045, -73.99740035799994)",1.101375
71,"(40.807209655, -73.967017889)",1.101375
72,"(40.760716018, -73.956940856)",1.101375
73,"(40.739519874000045, -73.98474432199998)",1.101375
74,"(40.821526104000036, -73.95846595699999)",1.101375
75,"(40.77890264200005, -73.94409296399994)",1.101375
76,"(40.80723741, -73.935334711)",1.101375
77,"(40.721676145, -73.984214477)",1.101375
78,"(40.751696706, -73.96479681)",1.101375
79,"(40.766662060000044, -73.98063346399994)",1.101375
80,"(40.744971115000055, -73.98604588199998)",1.101375
81,"(40.738925227, -74.003263586)",1.101375
82,"(40.80612304700002, -73.95936778199997)",1.101375
83,"(40.722209227000064, -74.01056105199996)",1.101375
84,"(40.74512404400008, -73.98066137799998)",1.101375
85,"(40.785881010000026, -73.95304625699998)",1.101375
86,"(40.772809557000066, -73.96573879399993)",1.101375
87,"(40.80629811800003, -73.95772411899996)",1.101375
88,"(40.760942799, -73.971238941)",1.101375
89,"(40.76678715500003, -73.99676321699997)",1.101375
90,"(40.72202736700007, -73.98344596499999)",1.101375
91,"(40.71347861900006, -73.99858382499998)",1.101375
92,"(40.785668613, -73.957401385)",1.101375
93,"(40.766775365, -73.971189491)",1.101375
94,"(40.76093618600004, -73.96704441099996)",1.101375
95,"(40.72197611200004, -74.00823408599996)",1.101375
96,"(40.76093069400008, -73.96703719399994)",1.101375
97,"(40.721946186, -73.997443631)",1.101375
98,"(40.774619974000075, -73.94808615499993)",1.101375
99,"(40.72187751800004, -74.00420434399997)",1.101375
100,"(40.76084579600007, -73.979743548)",1.101375
101,"(40.713698082000064, -73.99458704899996)",1.101375
102,"(40.806714964, -73.964847182)",1.101375
103,"(40.72180074200002, -73.99985353499993)",1.101375
104,"(40.71372290800008, -73.99910686199998)",1.101375
105,"(40.71398307700008, -74.01162387599999)",1.101375
106,"(40.712270827, -74.004921553)",1.101375
107,"(40.737989018000064, -73.97354025099996)",1.101375
108,"(40.75207232400004, -73.97350578399994)",1.101375
109,"(40.71081066800008, -74.00341370399997)",1.101375
110,"(40.736885788000045, -74.00553680899996)",1.101375
111,"(40.756497135000075, -73.99775994199997)",1.101375
112,"(40.725519819000056, -74.00403139799994)",1.101375
113,"(40.80164029700006, -73.94470234899995)",1.101375
114,"(40.72548034600004, -73.98396102799995)",1.101375
115,"(40.76830126300007, -73.96122481199995)",1.101375
116,"(40.78786767500004, -73.96744998299994)",1.101375
117,"(40.72538382700003, -73.98098459399995)",1.101375
118,"(40.768413435, -73.982055358)",1.101375
119,"(40.756562939, -73.974435253)",1.101375
120,"(40.772205029, -73.991831199)",1.101375
121,"(40.80187468900005, -73.941353855)",1.101375
122,"(40.71100670000004, -73.98055584899998)",1.101375
123,"(40.71103689800003, -73.98059191099996)",1.101375
124,"(40.77741837100007, -73.97879973899995)",1.101375
125,"(40.787800061000034, -73.97122372899997)",1.101375
126,"(40.825989661000044, -73.93590545199999)",1.101375
127,"(40.75661553000003, -73.97650348599996)",1.101375
128,"(40.75195210100002, -73.96523700399997)",1.101375
129,"(40.711252168000044, -73.98973574999997)",1.101375
130,"(40.76337939300004, -73.98090515999998)",1.101375
131,"(40.71078213700008, -73.98384192499998)",1.101375
132,"(40.710782137, -73.983841925)",1.101375
133,"(40.76841343500007, -73.98205535799997)",1.101375
134,"(40.726145588000065, -73.995062277)",1.101375
135,"(40.82648803, -73.93880646)",1.101375
136,"(40.710231568, -74.001105191)",1.101375
137,"(40.726095483000044, -73.98638536499993)",1.101375
138,"(40.82643598100003, -73.95044857899995)",1.101375
139,"(40.74650077900003, -74.00132593999997)",1.101375
140,"(40.726041278000025, -73.99485663599995)",1.101375
141,"(40.74649803400007, -74.00132954899993)",1.101375
142,"(40.772039373, -73.946889529)",1.101375
143,"(40.756288537, -73.974763822)",1.101375
144,"(40.75214770200005, -73.97977145799997)",1.101375
145,"(40.74870219400003, -73.97540550499998)",1.101375
146,"(40.756294237, -73.975745605)",1.101375
147,"(40.72584901200002, -74.00755989699996)",1.101375
148,"(40.72580532000006, -73.99761305099996)",1.101375
149,"(40.80124913100008, -73.94182756999999)",1.101375
150,"(40.756352479, -73.978795614)",1.101375
151,"(40.710607547, -74.003695041)",1.101375
152,"(40.710614924, -74.014526945)",1.101375
153,"(40.801420828, -73.934437373)",1.101375
154,"(40.72575304400005, -73.99411344199996)",1.101375
155,"(40.710691678000046, -73.98470402699996)",1.101375
156,"(40.710695314, -74.005347067)",1.101375
157,"(40.763438853000025, -73.96521295999997)",1.101375
158,"(40.746209842, -73.974850646)",1.101375
159,"(40.756662593000044, -73.97856811599996)",1.101375
160,"(40.746178556, -73.984122057)",1.101375
161,"(40.777761416, -73.978546884)",1.101375
162,"(40.75183192300005, -73.97902443699996)",1.101375
163,"(40.71178785300003, -73.999702057)",1.101375
164,"(40.72424355500005, -73.99778627999996)",1.101375
165,"(40.745833797000046, -74.00181313299998)",1.101375
166,"(40.72418035600003, -74.00457608899995)",1.101375
167,"(40.73779913100003, -73.98648040299997)",1.101375
168,"(40.73780499000002, -73.99012498599996)",1.101375
169,"(40.757073548000044, -74.00105543599993)",1.101375
170,"(40.761233653, -73.970888668)",1.101375
171,"(40.761188470000036, -73.95790435899994)",1.101375
172,"(40.80373731200007, -73.95778353799993)",1.101375
173,"(40.75708333200004, -73.96985093299998)",1.101375
174,"(40.71197996600006, -73.99777225799994)",1.101375
175,"(40.76118297500005, -73.95788992299998)",1.101375
176,"(40.724062340000046, -74.00438126099993)",1.101375
177,"(40.82451801900004, -73.95185193099996)",1.101375
178,"(40.786923810000076, -73.98123063499997)",1.101375
179,"(40.748894419000074, -73.97584213499994)",1.101375
180,"(40.75711743800008, -73.99730872799995)",1.101375
181,"(40.745751335, -73.99443648)",1.101375
182,"(40.737925921000055, -73.99222511899995)",1.101375
183,"(40.72392181200007, -73.98797321799998)",1.101375
184,"(40.71174904600008, -74.00936184099999)",1.101375
185,"(40.757185894, -73.973976601)",1.101375
186,"(40.756978196000034, -73.97834061299993)",1.101375
187,"(40.71174647000004, -74.00698837699997)",1.101375
188,"(40.72488856500007, -74.00262070899998)",1.101375
189,"(40.724850088, -74.004305549)",1.101375
190,"(40.746151833, -73.973212205)",1.101375
191,"(40.802354544000025, -73.96811111899994)",1.101375
192,"(40.825536901, -73.953292883)",1.101375
193,"(40.77754112200005, -73.97499768299997)",1.101375
194,"(40.71144097900003, -74.01543971399997)",1.101375
195,"(40.80250299900007, -73.94089818799995)",1.101375
196,"(40.75677243900003, -73.96715475699995)",1.101375
197,"(40.737384769, -73.987321263)",1.101375
198,"(40.756778568000065, -73.98271181599996)",1.101375
199,"(40.802579567, -73.967952083)",1.101375
200,"(40.77496542100005, -73.961015134)",1.101375
201,"(40.802606608000076, -73.94505191099995)",1.101375
202,"(40.74604751300007, -73.99052074899998)",1.101375
203,"(40.724559208000066, -74.00193521799997)",1.101375
204,"(40.72452045700004, -73.97334356299997)",1.101375
205,"(40.825180200000034, -73.94150313799997)",1.101375
206,"(40.724502865000034, -73.98163785399998)",1.101375
207,"(40.76771625500004, -73.98195446099999)",1.101375
208,"(40.75185797800003, -73.98867198099998)",1.101375
209,"(40.711655958, -74.005819672)",1.101375
210,"(40.777686184, -73.963230487)",1.101375
211,"(40.77769964, -73.98781908)",1.101375
212,"(40.821506870000064, -73.95840816099997)",1.101375
213,"(40.785290867, -73.98232164)",1.101375
214,"(40.821470874000056, -73.94460638299995)",1.101375
215,"(40.75930706500003, -73.96220104799994)",1.101375
216,"(40.760233545, -73.958583589)",1.101375
217,"(40.76022770800005, -73.95762701799998)",1.101375
218,"(40.741844988, -73.987295152)",1.101375
219,"(40.71831146300008, -73.98739703899997)",1.101375
220,"(40.773465716, -73.966305294)",1.101375
221,"(40.71619158700002, -73.98074552499997)",1.101375
222,"(40.81791513400003, -73.96158248099994)",1.101375
223,"(40.76457741300004, -73.97363798799995)",1.101375
224,"(40.78044633600007, -73.95280455299998)",1.101375
225,"(40.78028983400003, -73.98152136999995)",1.101375
226,"(40.81790766000006, -73.93809178099998)",1.101375
227,"(40.71827884100002, -73.99071589099998)",1.101375
228,"(40.782400702, -73.982593226)",1.101375
229,"(40.742097227000045, -73.98497829999997)",1.101375
230,"(40.71820471300003, -73.99047781099993)",1.101375
231,"(40.813488994000075, -73.95010779699999)",1.101375
232,"(40.71627258800004, -74.00688784599998)",1.101375
233,"(40.716289174000046, -74.00453586599998)",1.101375
234,"(40.81366126200004, -73.94862649599996)",1.101375
235,"(40.78052283700004, -73.95906565099993)",1.101375
236,"(40.77353832800003, -73.98533225199996)",1.101375
237,"(40.780480859, -73.956852249)",1.101375
238,"(40.71602268300006, -74.00882495099995)",1.101375
239,"(40.76026386300003, -73.96753566499996)",1.101375
240,"(40.71600633400004, -74.00709704299999)",1.101375
241,"(40.764392433, -73.982345235)",1.101375
242,"(40.75911263100004, -73.99213962499994)",1.101375
243,"(40.718968382, -73.975946775)",1.101375
244,"(40.71567527900004, -73.97906467299998)",1.101375
245,"(40.76555414200004, -73.95470313699997)",1.101375
246,"(40.74147093, -73.981579047)",1.101375
247,"(40.81210154, -73.960765793)",1.101375
248,"(40.780006293, -73.976903253)",1.101375
